origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:28', 'flight_numbers': 'AS 754 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 326, 'duration_display': '5h 26m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,07:02,13:28,AS 754 / AS 2412,AS,1,326,5h 26m,,,,,,,,07:02,13:28,AS 754 / AS 2412,AS,economy,1,cash,fli,,254.0,254.0,USD,,254.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,27.17,0.0,0.0,331.17,,1,True,,326,5h 26m,USD 254.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:45', 'arrive_time': '15:54', 'flight_numbers': 'UA 2013 / UA 2246', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 369, 'duration_display': '6h 9m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,08:45,15:54,UA 2013 / UA 2246,UA,1,369,6h 9m,,,,,,,,08:45,15:54,UA 2013 / UA 2246,UA,economy,1,cash,fli,,327.0,327.0,USD,,327.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,30.75,0.0,0.0,407.75,,19,False,,369,6h 9m,USD 327.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '13:44', 'arrive_time': '19:21', 'flight_numbers': 'AS 659 / AS 2292', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 277, 'duration_display': '4h 37m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,13:44,19:21,AS 659 / AS 2292,AS,1,277,4h 37m,,,,,,,,13:44,19:21,AS 659 / AS 2292,AS,economy,1,cash,fli,,364.0,364.0,USD,,364.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,23.08,0.0,0.0,437.08,,43,False,,277,4h 37m,USD 364.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '14:25', 'arrive_time': '22:56', 'flight_numbers': 'AS 2322 / AS 1373 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 451, 'duration_display': '7h 31m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,14:25,22:56,AS 2322 / AS 1373 / AS 2256,AS,2,451,7h 31m,,,,,,,,14:25,22:56,AS 2322 / AS 1373 / AS 2256,AS,economy,2,cash,fli,,329.0,329.0,USD,,329.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,100.0,37.58,0.0,0.0,466.58,,20,False,,451,7h 31m,USD 329.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '14:40', 'arrive_time': '22:56', 'flight_numbers': 'AS 694 / AS 743 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 436, 'duration_display': '7h 16m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,2,436,7h 16m,,,,,,,,14:40,22:56,AS 694 / AS 743 / AS 2256,AS,economy,2,cash,fli,,333.0,333.0,USD,,333.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,100.0,36.33,0.0,0.0,469.33,,22,False,,436,7h 16m,USD 333.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:29', 'arrive_time': '22:56', 'flight_numbers': 'AS 1448 / AS 685 / AS 2256', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 867, 'duration_display': '14h 27m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,07:29,22:56,AS 1448 / AS 685 / AS 2256,AS,2,867,14h 27m,,,,,,,,07:29,22:56,AS 1448 / AS 685 / AS 2256,AS,economy,2,cash,fli,,300.0,300.0,USD,,300.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,100.0,72.25,0.0,0.0,472.25,,8,False,,867,14h 27m,USD 300.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:29', 'arrive_time': '19:21', 'flight_numbers': 'AS 1448 / AS 1368 / AS 2292', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 652, 'duration_display': '10h 52m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,07:29,19:21,AS 1448 / AS 1368 / AS 2292,AS,2,652,10h 52m,,,,,,,,07:29,19:21,AS 1448 / AS 1368 / AS 2292,AS,economy,2,cash,fli,,334.0,334.0,USD,,334.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,100.0,54.33,0.0,0.0,488.33,,25,False,,652,10h 52m,USD 334.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '06:17', 'arrive_time': '12:28', 'flight_numbers': 'AS 762 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 311, 'duration_display': '5h 11m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,06:17,12:28,AS 762 / AS 2405,AS,1,311,5h 11m,,,,,,,,06:17,12:28,AS 762 / AS 2405,AS,economy,1,cash,fli,,364.0,364.0,USD,,364.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,25.92,50.0,0.0,489.92,early departure,42,False,,311,5h 11m,USD 364.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '12:51', 'arrive_time': '21:21', 'flight_numbers': 'UA 2076 / UA 696', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 450, 'duration_display': '7h 30m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,12:51,21:21,UA 2076 / UA 696,UA,1,450,7h 30m,,,,,,,,12:51,21:21,UA 2076 / UA 696,UA,economy,1,cash,fli,,405.0,405.0,USD,,405.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,37.5,0.0,0.0,492.5,,84,False,,450,7h 30m,USD 405.00,
SJC,FCA,2026-09-05,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:02', 'arrive_time': '17:28', 'flight_numbers': 'AS 1304 / AS 2310', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 506, 'duration_display': '8h 26m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SJC,FCA,2026-09-05,08:02,17:28,AS 1304 / AS 2310,AS,1,506,8h 26m,,,,,,,,08:02,17:28,AS 1304 / AS 2310,AS,economy,1,cash,fli,,405.0,405.0,USD,,405.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-05_economy_fli_raw.json,50.0,42.17,0.0,0.0,497.17,,87,False,,506,8h 26m,USD 405.00,
