origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '06:05', 'arrive_time': '13:45', 'flight_numbers': 'WN 1874 / WN 1796', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 640, 'duration_display': '10h 40m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,06:05,13:45,WN 1874 / WN 1796,WN,1,640,10h 40m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,590.0,590.0,USD,,590.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,670.0,,1,True,,360,6h,USD 590.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '14:40', 'flight_numbers': 'WN 1076 / WN 2445', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 420, 'duration_display': '7h'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,10:40,14:40,WN 1076 / WN 2445,WN,1,420,7h,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,590.0,590.0,USD,,590.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,670.0,,2,False,,360,6h,USD 590.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '06:05', 'arrive_time': '12:10', 'flight_numbers': 'WN 1874 / WN 1764 / WN 1764', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 545, 'duration_display': '9h 5m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,06:05,12:10,WN 1874 / WN 1764 / WN 1764,WN,2,545,9h 5m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,610.0,610.0,USD,,610.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,690.0,,3,False,,360,6h,USD 610.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '20:35', 'flight_numbers': 'WN 1076 / WN 4451 / WN 4451', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 775, 'duration_display': '12h 55m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,10:40,20:35,WN 1076 / WN 4451 / WN 4451,WN,2,775,12h 55m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,610.0,610.0,USD,,610.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,690.0,,4,False,,360,6h,USD 610.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '06:05', 'arrive_time': '10:15', 'flight_numbers': 'WN 1874 / WN 1795', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 430, 'duration_display': '7h 10m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,06:05,10:15,WN 1874 / WN 1795,WN,1,430,7h 10m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,671.0,671.0,USD,,671.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,751.0,,5,False,,360,6h,USD 671.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '16:50', 'flight_numbers': 'WN 1076 / WN 4556', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 550, 'duration_display': '9h 10m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,10:40,16:50,WN 1076 / WN 4556,WN,1,550,9h 10m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,671.0,671.0,USD,,671.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,751.0,,6,False,,360,6h,USD 671.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '19:10', 'flight_numbers': 'WN 1076 / WN 879', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 690, 'duration_display': '11h 30m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,10:40,19:10,WN 1076 / WN 879,WN,1,690,11h 30m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,671.0,671.0,USD,,671.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,751.0,,7,False,,360,6h,USD 671.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '12:50', 'arrive_time': '19:45', 'flight_numbers': 'WN 971 / WN 2740', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 595, 'duration_display': '9h 55m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,12:50,19:45,WN 971 / WN 2740,WN,1,595,9h 55m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,671.0,671.0,USD,,671.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,751.0,,8,False,,360,6h,USD 671.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '15:45', 'arrive_time': '21:45', 'flight_numbers': 'WN 1124 / WN 3535 / WN 356', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 540, 'duration_display': '9h'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,15:45,21:45,WN 1124 / WN 3535 / WN 356,WN,2,540,9h,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,681.0,681.0,USD,,681.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,761.0,,9,False,,360,6h,USD 681.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:25', 'arrive_time': '12:40', 'flight_numbers': 'WN 1877 / WN 3035', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 435, 'duration_display': '7h 15m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,08:25,12:40,WN 1877 / WN 3035,WN,1,435,7h 15m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,689.0,689.0,USD,,689.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,769.0,,10,False,,360,6h,USD 689.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '15:45', 'arrive_time': '23:20', 'flight_numbers': 'WN 1124 / WN 1119', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 635, 'duration_display': '10h 35m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,15:45,23:20,WN 1124 / WN 1119,WN,1,635,10h 35m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,689.0,689.0,USD,,689.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,769.0,,11,False,,360,6h,USD 689.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '17:25', 'arrive_time': '22:45', 'flight_numbers': 'WN 1198 / WN 1799', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 500, 'duration_display': '8h 20m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,17:25,22:45,WN 1198 / WN 1799,WN,1,500,8h 20m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,726.0,726.0,USD,,726.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,806.0,,12,False,,360,6h,USD 726.00,
SJC,DTW,2026-11-14,round-trip,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'DTW', 'date': '2026-11-14', 'depart_time': '07:55', 'arrive_time': '16:55', 'flight_numbers': 'WN 759 / WN 759', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 360, 'duration_display': '6h'}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '05:10', 'arrive_time': '13:25', 'flight_numbers': 'WN 1872 / WN 1223', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 675, 'duration_display': '11h 15m'}}",SJC,DTW,2026-11-14,07:55,16:55,WN 759 / WN 759,WN,1,360,6h,05:10,13:25,WN 1872 / WN 1223,WN,1,675,11h 15m,07:55,16:55,WN 759 / WN 759,WN,economy,1,cash,fli,,756.0,756.0,USD,,756.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_dtw_2026-11-14_dtw_sjc_2026-11-30_economy_round_trip_fli_raw.json,50.0,30.0,0.0,0.0,836.0,,13,False,,360,6h,USD 756.00,
